created_at,team,priority,channel,product_area,resolution_hours,csat_score,reopened_flag
2025-02-18,Payments,Medium,Chat,Checkout,14.15,3.21,yes
2025-02-19,Support,High,Phone,Accounts,9.5,3.23,no
2025-02-20,Infrastructure,Urgent,Portal,Reporting,12.61,3.51,no
2025-02-21,Platform,Low,Email,Billing,5.91,3.63,no
2025-02-22,Payments,Medium,Chat,Checkout,11.02,3.87,no
2025-02-23,Support,High,Phone,Accounts,15.74,3.35,no
2025-02-24,Infrastructure,Urgent,Portal,Reporting,21.61,2.17,no
2025-02-25,Platform,Low,Email,Billing,4.84,4.05,yes
2025-02-26,Payments,Medium,Chat,Checkout,8.52,3.92,no
2025-02-27,Support,High,Phone,Accounts,11.52,3.05,no
2025-02-28,Infrastructure,Urgent,Portal,Reporting,18.61,2.37,yes
2025-03-01,Platform,Low,Email,Billing,12.37,3.64,no
2025-03-02,Payments,Medium,Chat,Checkout,15.22,3.46,no
2025-03-03,Support,High,Phone,Accounts,10.38,3.79,no
2025-03-04,Infrastructure,Urgent,Portal,Reporting,12.87,3.52,yes
2025-03-05,Platform,Low,Email,Billing,5.3,4.05,no
2025-03-06,Payments,Medium,Chat,Checkout,10.71,3.63,no
2025-03-07,Support,High,Phone,Accounts,16.27,3.0,no
2025-03-08,Infrastructure,Urgent,Portal,Reporting,21.58,2.79,no
2025-03-09,Platform,Low,Email,Billing,2.16,4.09,no
2025-03-10,Payments,Medium,Chat,Checkout,5.59,4.34,no
2025-03-11,Support,High,Phone,Accounts,12.36,3.69,yes
2025-03-12,Infrastructure,Urgent,Portal,Reporting,15.83,2.57,yes
2025-03-13,Platform,Low,Email,Billing,11.84,3.73,no
2025-03-14,Payments,Medium,Chat,Checkout,13.63,3.1,no
2025-03-15,Support,High,Phone,Accounts,7.27,4.22,no
2025-03-16,Infrastructure,Urgent,Portal,Reporting,12.64,3.28,no
2025-03-17,Platform,Low,Email,Billing,5.61,4.34,no
2025-03-18,Payments,Medium,Chat,Checkout,9.51,3.56,yes
2025-03-19,Support,High,Phone,Accounts,16.26,3.14,no
2025-03-20,Infrastructure,Urgent,Portal,Reporting,22.05,2.27,no
2025-03-21,Platform,Low,Email,Billing,4.53,3.79,no
2025-03-22,Payments,Medium,Chat,Checkout,7.06,3.48,no
2025-03-23,Support,High,Phone,Accounts,12.09,3.26,no
2025-03-24,Infrastructure,Urgent,Portal,Reporting,18.57,2.27,yes
2025-03-25,Platform,Low,Email,Billing,10.14,3.49,yes
2025-03-26,Payments,Medium,Chat,Checkout,16.06,3.26,no
2025-03-27,Support,High,Phone,Accounts,7.12,4.01,no
2025-03-28,Infrastructure,Urgent,Portal,Reporting,13.54,3.63,no
2025-03-29,Platform,Low,Email,Billing,6.6,3.8,no
2025-03-30,Payments,Medium,Chat,Checkout,9.71,3.24,no
2025-03-31,Support,High,Phone,Accounts,16.93,2.82,no
2025-04-01,Infrastructure,Urgent,Portal,Reporting,20.99,2.58,yes
2025-04-02,Platform,Low,Email,Billing,3.99,3.72,no
2025-04-03,Payments,Medium,Chat,Checkout,8.45,3.47,no
2025-04-04,Support,High,Phone,Accounts,10.72,3.54,no
2025-04-05,Infrastructure,Urgent,Portal,Reporting,15.26,3.26,yes
2025-04-06,Platform,Low,Email,Billing,9.53,3.34,no
2025-04-07,Payments,Medium,Chat,Checkout,15.76,2.82,no
2025-04-08,Support,High,Phone,Accounts,7.3,4.18,yes
2025-04-09,Infrastructure,Urgent,Portal,Reporting,11.51,3.72,no
2025-04-10,Platform,Low,Email,Billing,5.79,3.64,no
2025-04-11,Payments,Medium,Chat,Checkout,9.94,3.26,no
2025-04-12,Support,High,Phone,Accounts,16.23,2.5,no
2025-04-13,Infrastructure,Urgent,Portal,Reporting,18.56,2.95,no
2025-04-14,Platform,Low,Email,Billing,2.64,4.13,no
2025-04-15,Payments,Medium,Chat,Checkout,6.15,3.53,yes
2025-04-16,Support,High,Phone,Accounts,13.03,3.27,no
2025-04-17,Infrastructure,Urgent,Portal,Reporting,17.8,2.75,yes
2025-04-18,Platform,Low,Email,Billing,11.67,3.39,no
2025-04-19,Payments,Medium,Chat,Checkout,12.91,3.26,no
2025-04-20,Support,High,Phone,Accounts,10.3,3.11,no
2025-04-21,Infrastructure,Urgent,Portal,Reporting,14.44,3.44,no
2025-04-22,Platform,Low,Email,Billing,7.21,3.79,yes
2025-04-23,Payments,Medium,Chat,Checkout,12.62,2.89,no
2025-04-24,Support,High,Phone,Accounts,15.55,2.91,no
2025-04-25,Infrastructure,Urgent,Portal,Reporting,21.07,2.43,no
2025-04-26,Platform,Low,Email,Billing,5.16,3.65,no
2025-04-27,Payments,Medium,Chat,Checkout,5.8,4.07,no
2025-04-28,Support,High,Phone,Accounts,10.5,3.3,no
2025-04-29,Infrastructure,Urgent,Portal,Reporting,17.37,2.86,yes
2025-04-30,Platform,Low,Email,Billing,9.97,4.0,no
2025-05-01,Payments,Medium,Chat,Checkout,14.49,3.06,no
2025-05-02,Support,High,Phone,Accounts,9.02,3.29,no
2025-05-03,Infrastructure,Urgent,Portal,Reporting,14.13,3.45,no
2025-05-04,Platform,Low,Email,Billing,7.69,4.02,no
2025-05-05,Payments,Medium,Chat,Checkout,11.7,3.12,no
2025-05-06,Support,High,Phone,Accounts,15.44,2.76,yes
2025-05-07,Infrastructure,Urgent,Portal,Reporting,19.77,2.53,no
2025-05-08,Platform,Low,Email,Billing,3.31,3.85,no
2025-05-09,Payments,Medium,Chat,Checkout,7.1,3.99,no
2025-05-10,Support,High,Phone,Accounts,11.65,3.07,no
2025-05-11,Infrastructure,Urgent,Portal,Reporting,18.46,2.31,yes
2025-05-12,Platform,Low,Email,Billing,11.87,3.0,no
2025-05-13,Payments,Medium,Chat,Checkout,12.86,3.48,yes
2025-05-14,Support,High,Phone,Accounts,9.79,3.62,no
2025-05-15,Infrastructure,Urgent,Portal,Reporting,13.7,3.24,no
